epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1105.56,0.99607,1.04781,1.24633,0.53258,0.48353,0.45501,0.3222,1.19279,2.09781,1.47727,0.00900844,0.00900844,0.00900844
43,1129.99,1.00623,1.04349,1.25045,0.43659,0.46786,0.36749,0.24319,1.21265,2.0015,1.48982,0.00896127,0.00896127,0.00896127
44,1153.08,0.95977,1.0179,1.23852,0.51435,0.55297,0.4516,0.31328,1.23353,1.77142,1.54581,0.00891313,0.00891313,0.00891313
45,1177.99,0.95731,0.98502,1.22927,0.51149,0.45715,0.42633,0.30438,1.11516,1.7949,1.42969,0.00886404,0.00886404,0.00886404
46,1203.44,0.95549,0.98369,1.21215,0.495,0.52368,0.42655,0.30678,1.13473,1.95462,1.44893,0.00881401,0.00881401,0.00881401
47,1229.51,0.97529,1.03285,1.25712,0.62601,0.51747,0.48902,0.36228,1.09369,2.08474,1.42678,0.00876305,0.00876305,0.00876305
48,1255.23,0.96312,1.00006,1.23357,0.5851,0.58689,0.48667,0.35057,1.10829,1.7484,1.43749,0.00871117,0.00871117,0.00871117
49,1280.89,0.9415,0.98022,1.21294,0.55865,0.54479,0.47172,0.33807,1.16624,1.67826,1.50232,0.00865839,0.00865839,0.00865839
50,1306.93,0.92724,0.97611,1.21304,0.48983,0.544,0.43685,0.30577,1.10769,1.81124,1.40457,0.00860473,0.00860473,0.00860473
51,1332.57,0.91754,0.94102,1.21856,0.49839,0.44162,0.36558,0.25684,1.19608,2.09862,1.52466,0.00855018,0.00855018,0.00855018
52,1358.25,0.91393,0.95782,1.20979,0.44075,0.42186,0.34202,0.2397,1.14171,2.31616,1.48398,0.00849477,0.00849477,0.00849477
53,1384.11,0.92452,0.96245,1.21404,0.41567,0.48291,0.40116,0.29311,1.08676,2.19049,1.37093,0.00843851,0.00843851,0.00843851
54,1412.2,0.89159,0.90831,1.1844,0.56513,0.57308,0.49914,0.36586,1.08846,1.71833,1.39625,0.00838141,0.00838141,0.00838141
55,1443.41,0.90492,0.92881,1.20157,0.53383,0.47716,0.4215,0.29392,1.077,2.08418,1.39886,0.00832349,0.00832349,0.00832349
56,1474.38,0.92943,0.96614,1.22243,0.47388,0.47734,0.37639,0.26948,1.09054,2.34696,1.4314,0.00826477,0.00826477,0.00826477
57,1505.45,0.89397,0.91953,1.18928,0.51017,0.50162,0.42324,0.31367,1.04471,1.97231,1.37697,0.00820525,0.00820525,0.00820525
58,1537.2,0.91193,0.94792,1.21271,0.49672,0.50937,0.39635,0.28947,1.07394,1.98865,1.37576,0.00814495,0.00814495,0.00814495
59,1567.26,0.89175,0.91517,1.18389,0.51417,0.51132,0.40976,0.30259,1.05156,2.10999,1.40236,0.00808389,0.00808389,0.00808389
60,1593.26,0.87842,0.89654,1.17746,0.54915,0.5209,0.44978,0.32408,1.04786,2.04409,1.37508,0.00802208,0.00802208,0.00802208
61,1618.43,0.89132,0.91865,1.18031,0.44077,0.46624,0.42783,0.30939,1.15154,1.86844,1.44535,0.00795954,0.00795954,0.00795954
62,1645.31,0.90509,0.91053,1.19179,0.52925,0.57508,0.45633,0.31862,1.12776,1.86949,1.43261,0.00789628,0.00789628,0.00789628
63,1675.93,0.86308,0.88475,1.16956,0.47078,0.47955,0.39533,0.28489,1.03544,2.05978,1.36717,0.00783231,0.00783231,0.00783231
64,1706.87,0.89102,0.91926,1.17898,0.57001,0.43905,0.46102,0.33454,1.08549,1.87858,1.40173,0.00776766,0.00776766,0.00776766
65,1733.19,0.88292,0.90069,1.19533,0.50071,0.42526,0.39273,0.28671,1.06538,2.05851,1.38103,0.00770234,0.00770234,0.00770234
66,1763.51,0.86051,0.84812,1.16781,0.53885,0.47169,0.41076,0.29831,1.08532,2.10883,1.42478,0.00763637,0.00763637,0.00763637
